id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11463374,Bouldin Creek 3/2 Ideal Location,60299579,Katie,,78704,30.25638,-97.75708,Entire home/apt,1500,2,0,,,1,0,0,
11474166,Cozy/Mid Century Modern Home 2 Queen 1 King,17454664,Lauri,,78704,30.25673,-97.76478,Entire home/apt,331,2,111,2022-11-13,1.43,1,250,20,
11475165,Large Venue 15 min from SXSW,28076452,Jeremy,,78756,30.32408,-97.72785,Entire home/apt,3000,1,0,,,1,0,0,
11479813,Gaze at Wild Natural Views at a Cliffside Downtown Penthouse,16243944,Lisa,,78704,30.26136,-97.76852,Entire home/apt,6000,3,3,2019-04-14,0.04,3,334,0,
11480675,Waller Bungalow,9368547,Nick,,78702,30.25507,-97.73347,Entire home/apt,350,1,1,2016-03-16,0.01,1,0,0,
11493357,"Bright, Comfy, and Convenient",6601642,Lisa,,78741,30.23377,-97.73087,Entire home/apt,250,1,0,,,1,0,0,
11493555,Two Bedroom Apt. available for SXSW,60517754,Thomas,,78722,30.29606,-97.71556,Entire home/apt,150,1,2,2016-03-23,0.02,1,0,0,
11495365,South 1st Condo,60532572,Christopher,,78704,30.25681,-97.75332,Entire home/apt,199,1,0,,,1,0,0,
11505260,W Austin long-term apt - social distancing assured,9268885,Julie And Tony,,78734,30.38104,-97.92377,Entire home/apt,123,7,69,2023-01-14,0.81,1,171,6,
11509185,Architect Designed Home |Central,60639530,Rindi,,78705,30.29558,-97.73924,Entire home/apt,1200,4,0,,,1,0,0,
11519361,"Central location, great food in the",34442751,Alice,,78751,30.32471,-97.72696,Entire home/apt,83,1,4,2016-04-18,0.05,1,0,0,
11525270,Adorable Large Austin Home for SXSW,57528373,Cristina,,78723,30.31739,-97.69071,Entire home/apt,350,1,0,,,1,0,0,
11526499,South Austin Home - Walking Distance to Far Out!,60778342,Samantha,,78748,30.17776,-97.78742,Private room,86,1,300,2022-11-12,3.52,1,3,27,
11530645,South Congress Bamboo Garden House,59894416,James,,78704,30.23639,-97.75047,Entire home/apt,152,2,389,2023-03-15,4.56,2,24,68,
11530758,Homie Hangout,60814153,John,,78756,30.31521,-97.74424,Entire home/apt,220,2,0,,,1,0,0,
11530802,Clean Nice Bedroom East Austin,46218652,Alan Battle,,78741,30.24019,-97.71739,Private room,65,1,4,2016-03-13,0.05,1,0,0,
11532963,Beautiful 3/1.5 in treehouse like setting!,46934255,Tod,,78723,30.30786,-97.67527,Entire home/apt,103,28,5,2022-11-01,0.06,2,35,2,
11533715,Artisan's Airy and Cozy Home,12033483,Tess,,78704,30.24762,-97.77981,Entire home/apt,250,4,2,2016-04-05,0.02,1,0,0,
11534656,East Austin Studio,60848269,Emily,,78722,30.28509,-97.71412,Entire home/apt,200,1,0,,,1,0,0,
11545503,Hillary's Hacienda,31814673,Eric,,78703,30.26898,-97.75667,Private room,58,1,1,2016-03-21,0.01,1,0,0,
11547507,Guest House in Southwest Austin-Circle C Adjacent,60947359,Farrah,,78739,30.17333,-97.8599,Entire home/apt,104,2,11,2018-05-27,0.13,1,0,0,
11548530,4 bedroom house in trendy SOCO.  Great for SXSW!,5766765,Holly,,78704,30.23268,-97.75882,Entire home/apt,495,6,2,2019-03-12,0.03,2,89,0,
11548720,Private Room - South East Austin House,60961173,Werner,,78744,30.19695,-97.69854,Private room,3900,1,23,2019-11-04,0.32,1,0,0,
11548814,Private Bedroom with Queen Bed,55148310,Ross,,78751,30.30458,-97.72479,Private room,100,1,0,,,1,0,0,
11554660,Single room with attached bathroom,61011394,Asif,,78751,30.30707,-97.72043,Private room,29,1,0,,,1,0,0,
11556100,Upscale apartment perfect for SXSW.,34198754,David,,78757,30.33778,-97.72043,Entire home/apt,350,3,0,,,1,0,0,
11568190,Room w/ King Bed-CentralEast Austin,60544604,Emily,,78702,30.26988,-97.70572,Private room,65,2,3,2016-03-21,0.04,1,0,0,
11570934,"Two Story, East Riverside",61138321,David,,78741,30.22607,-97.69153,Private room,85,1,8,2016-05-30,0.09,1,0,0,
11571468,Corner condo in Austin hi-rise,30215649,Jake,,78703,30.26977,-97.75236,Entire home/apt,500,1,0,,,1,0,0,
11582325,2BR/2BA DWTN Austin Bungalow,61234909,Harsh,,78702,30.25503,-97.72382,Entire home/apt,700,1,0,,,1,0,0,
11583653,Clean Family Friendly Hancock Ranch House,50671207,Rachel,,78757,30.35437,-97.74444,Entire home/apt,240,14,16,2021-11-15,0.20,4,214,0,
11586351,West Campus Hideaway,25773254,Phillip,,78705,30.28743,-97.75082,Entire home/apt,300,1,0,,,1,0,0,
11587536,Homey Homie Home with Cornhole,15884689,Emily,,78703,30.28152,-97.75834,Entire home/apt,238,1,11,2022-10-23,0.13,3,87,1,
11588056,Walk to ACL - Adorable Zilker Cottage!,3221544,Ellen,,78704,30.2561,-97.7679,Entire home/apt,130,2,14,2018-10-28,0.17,1,0,0,
11589978,Tree house Bungalow,60126667,Patrice & Daniel,,78751,30.32073,-97.72034,Entire home/apt,110,1,418,2023-02-26,4.91,1,287,75,
11592042,Apartment near UT. Great for SXSW,60289088,Caroline,,78705,30.29398,-97.74527,Private room,250,1,0,,,1,0,0,
11592622,SXSW room & beds to crash,1685078,Joe,,78751,30.30137,-97.72535,Shared room,175,1,0,,,1,0,0,
11592645,SXSW Cozey Brand New Apartment,25118695,Jose,,78705,30.29105,-97.72369,Entire home/apt,220,1,1,2016-03-13,0.01,1,0,0,
11594140,Spacious apartment near downtown!,58054957,Mark,,78741,30.23011,-97.72141,Entire home/apt,60,2,0,,,1,0,0,
11596299,Casa Caribe in East Austin for SXSW,61352125,Juan,,78702,30.26404,-97.70698,Entire home/apt,325,2,1,2017-03-17,0.01,1,0,0,
11601524,Rooms in East Austin,17926381,Chad,,78702,30.27358,-97.72346,Private room,165,2,47,2018-06-24,0.56,1,0,0,
